Name,Decision
apoc.refactor.extractNode,CORE
apoc.refactor.from,CORE
apoc.refactor.invert,CORE
apoc.refactor.mergeNodes,CORE
apoc.refactor.mergeRelationships,CORE
apoc.refactor.normalizeAsBoolean,CORE
apoc.refactor.rename.label,CORE
apoc.refactor.rename.nodeProperty,CORE
apoc.refactor.rename.type,CORE
apoc.refactor.rename.typeProperty,CORE
apoc.refactor.setType,CORE
apoc.refactor.to,CORE
apoc.rel.id,CORE
apoc.rel.type,CORE
apoc.schema.assert,CORE
apoc.schema.node.constraintExists,CORE
apoc.schema.node.indexExists,CORE
apoc.schema.nodes,CORE
apoc.schema.properties.distinct,CORE
apoc.schema.properties.distinctCount,CORE
apoc.schema.relationship.constraintExists,CORE
apoc.schema.relationships,CORE
apoc.scoring.existence,CORE
apoc.scoring.pareto,CORE
apoc.search.multiSearchReduced,CORE
apoc.search.node,CORE
apoc.search.nodeAll,CORE
apoc.search.nodeAllReduced,CORE
apoc.search.nodeReduced,CORE
apoc.spatial.geocode,CORE
apoc.spatial.geocodeOnce,CORE
apoc.spatial.reverseGeocode,CORE
apoc.spatial.sortByDistance,CORE
apoc.static.get,EXTENDED
apoc.static.get,EXTENDED
apoc.static.getAll,EXTENDED
apoc.static.list,EXTENDED
apoc.static.set,EXTENDED
apoc.stats.degrees,CORE
apoc.systemdb.execute,EXTENDED
apoc.systemdb.graph,EXTENDED
apoc.temporal.format,CORE
apoc.temporal.formatDuration,CORE
apoc.text.base64Decode,CORE
apoc.text.base64Encode,CORE
apoc.text.base64UrlDecode,CORE
apoc.text.base64UrlEncode,CORE
apoc.text.byteCount,CORE
apoc.text.bytes,CORE
apoc.text.camelCase,CORE
apoc.text.capitalize,CORE
apoc.text.capitalizeAll,CORE
apoc.text.charAt,CORE
apoc.text.clean,CORE
apoc.text.code,CORE
apoc.text.compareCleaned,CORE
apoc.text.decapitalize,CORE
apoc.text.decapitalizeAll,CORE
apoc.text.distance,CORE
apoc.text.doubleMetaphone,CORE
apoc.text.doubleMetaphone,CORE
apoc.text.format,CORE
apoc.text.fuzzyMatch,CORE
apoc.text.hammingDistance,CORE
apoc.text.hexCharAt,CORE
apoc.text.hexValue,CORE
apoc.text.indexesOf,CORE
apoc.text.indexOf,CORE
apoc.text.jaroWinklerDistance,CORE
apoc.text.join,CORE
apoc.text.levenshteinDistance,CORE
apoc.text.levenshteinSimilarity,CORE
apoc.text.lpad,CORE
apoc.text.phonetic,CORE
apoc.text.phonetic,CORE
apoc.text.phoneticDelta,CORE
apoc.text.random,CORE
apoc.text.regexGroups,CORE
apoc.text.regreplace,CORE
apoc.text.repeat,CORE
apoc.text.replace,CORE
apoc.text.rpad,CORE
apoc.text.slug,CORE
apoc.text.snakeCase,CORE
apoc.text.sorensenDiceSimilarity,CORE
apoc.text.split,CORE
apoc.text.swapCase,CORE
apoc.text.toCypher,CORE
apoc.text.toUpperCase,CORE
apoc.text.upperCamelCase,CORE
apoc.text.urldecode,CORE
apoc.text.urlencode,CORE
apoc.trigger.add,CORE
apoc.trigger.list,CORE
apoc.trigger.nodesByLabel,EXTENDED
apoc.trigger.pause,CORE
apoc.trigger.propertiesByKey,EXTENDED
apoc.trigger.remove,CORE
apoc.trigger.removeAll,CORE
apoc.trigger.resume,CORE
apoc.ttl.expire,EXTENDED
apoc.ttl.expireIn,EXTENDED
apoc.util.md5,CORE
apoc.util.sha1,CORE
apoc.util.sha256,CORE
apoc.util.sha384,CORE
apoc.util.sha512,CORE
apoc.util.sleep,CORE
apoc.util.validate,CORE
apoc.uuid.install,EXTENDED
apoc.uuid.list,EXTENDED
apoc.uuid.remove,EXTENDED
apoc.uuid.removeAll,EXTENDED
apoc.version,CORE
apoc.version,CORE
apoc.warmup.run,CORE
apoc.when,CORE
apoc.xml.import,CORE
apoc.xml.parse,CORE
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
